comm,pc_cons,pc_cons_winzor,percentpoor,lat,lon,pc_cons_sd,pc_cons_winzor_sd,urban,households
30710002,1.8577508,1.8577508,.2857143,2.2608037,32.942139,.91044611,.91044611,1,7
30710005,2.6075039,2.6075039,.083333336,2.3926301,32.771732,2.9570563,2.9570563,1,12
30710007,3.1983778,3.1983778,.25,2.3194761,32.993797,2.1269529,2.1269529,1,8
30730009,1.7711577,1.7711577,.38461539,2.116832,33.06488,2.4025571,2.4025571,0,13
30730010,.98074728,.98074728,.63636363,1.9999945,33.240932,.48320168,.48320168,0,11
30730011,2.2241111,2.1375,.66666669,1.7990751,33.008945,4.5100236,4.2106695,0,12
30730012,4.3459306,4.3459306,.11111111,2.1254494,32.905006,2.7927856,2.7927856,0,9
30730016,1.6877371,1.6877371,.40000001,1.7952126,32.899227,1.5825968,1.5825968,0,10
30730017,.77069664,.78285038,.73333335,2.1777422,33.124615,.39501655,.37653917,0,15
30730018,1.2501861,1.2609004,.5,1.9933017,33.140167,.96560812,.95365566,0,14
30730020,.59429997,.59429997,1,2.4108715,33.051025,.06719023,.06719023,0,4
30730022,.96727097,.96727097,.58333331,2.1975391,33.107304,.47503713,.47503713,0,12
30730023,.68096721,.68096721,.90909094,2.1149468,33.11628,.27964425,.27964425,0,11
30730025,1.4067918,1.4067918,.5,2.2976575,32.968548,1.0835781,1.0835781,0,12
30830001,1.0989066,1.1083783,.5,2.1458118,34.204441,.75777137,.74565655,0,8
30830002,.63658607,.64146298,.77777779,2.3821847,34.500034,.39407155,.38901672,0,9
30830004,.76856047,.78013086,.91666669,2.5674849,34.635078,.62002355,.60955095,0,12
30930001,1.6680624,1.6680624,.40000001,3.2746665,31.710297,1.5512952,1.5512952,0,15
30930002,1.5355595,1.5355595,.27272728,3.5451963,31.704552,.71191466,.71191466,0,11
31010001,1.4405805,1.4405805,.40000001,2.2580841,31.199875,.60949099,.60949099,1,10
31010004,2.8128731,2.8128731,0,2.4800823,30.964668,1.305149,1.305149,1,7
31030006,2.1440284,2.1440284,.14285715,2.3568976,31.417545,.89290714,.89290714,0,7
31030007,1.476878,1.476878,.41666666,2.5675459,30.951069,1.0365359,1.0365359,0,12
31030008,1.3427887,1.3427887,.42857143,2.3598201,30.917814,.85160232,.85160232,0,7
31030009,.98410386,.98410386,.54545456,2.5197599,30.889572,.44090948,.44090948,0,11
31030010,1.7387104,1.7387104,.23076923,2.5430443,30.792597,1.0262312,1.0262312,0,13
31030012,1.8863652,1.8863652,.25,2.4944882,31.09231,.85927778,.85927778,0,8
31110001,1.7578642,1.7578642,.54545456,1.8393451,34.708958,1.7686235,1.7686235,1,11
31130003,.71055663,.71397907,.77777779,2.3574443,34.586277,.30597317,.30054641,0,9
31130004,1.0268397,1.0268397,.71428573,1.7690884,34.857117,.83590728,.83590728,0,7
31330001,1.7635359,1.7635359,.2,3.5585761,31.137333,1.2485424,1.2485424,0,10
31330002,1.1732259,1.1732259,.40000001,3.3477597,31.193533,.36526737,.36526737,0,10
31330003,1.8334757,1.8334757,.33333334,3.2924688,31.364265,1.25542,1.25542,0,9
40130003,2.7889242,2.7889242,.18181819,.67562276,30.046373,1.6720283,1.6720283,0,11
40130005,1.5647484,1.5647484,.375,.78514379,30.247507,.73724729,.73724729,0,8
40210002,2.0186603,2.0186603,.1,-.55010653,30.172365,.64362431,.64362431,1,10
40230007,2.9819605,2.9493868,.27272728,-.30397952,30.378496,4.4886422,4.3861775,0,11
40230011,1.581551,1.581551,.375,-.26006278,30.129675,.91915953,.91915953,0,8
40230016,1.9597051,1.9597051,.2857143,-.4743768,30.139322,1.457466,1.457466,0,14
40230020,2.8368986,2.8368986,.1,-.43738958,30.292999,2.0857084,2.0857084,0,10
40230025,2.6661229,2.6661229,.375,-.52931577,29.961195,3.6200154,3.6200154,0,8
40230030,2.0688915,2.0688915,.083333336,-.35581958,30.425356,1.0475042,1.0475042,0,12
40310002,1.8876802,1.8876802,.25,1.4429042,31.321112,.85282916,.85282916,1,8
40330004,1.3138382,1.3138382,.2857143,1.3618708,31.451387,.55670953,.55670953,0,7
40330006,3.7995629,3.3620987,.090909094,1.4746522,31.338894,5.5649643,4.1479015,0,11
40330007,1.4341539,1.4341539,.14285715,1.4419575,31.155403,.55097562,.55097562,0,7
40330009,.9378795,.9378795,.63636363,1.2229834,30.819361,.40822285,.40822285,0,11
40410003,1.7379444,1.7379444,.44444445,-1.1701962,30.039474,1.0337881,1.0337881,1,9
40430006,2.1357555,2.1357555,.27272728,-1.2552155,30.05682,2.1394939,2.1394939,0,11
40430008,1.496223,1.496223,.21428572,-1.3977982,29.935001,.56781787,.56781787,0,14
40430010,1.6529431,1.6529431,.22222222,-1.2137736,29.842369,.9471845,.9471845,0,9
40430012,1.5617282,1.5617282,.25,-1.1572623,30.06245,.6506514,.6506514,0,8
40510002,2.5706615,2.5706615,.2857143,.64079875,30.301283,2.1720107,2.1720107,1,7
40510005,1.7021396,1.7021396,.22222222,.62691432,30.277119,.90547365,.90547365,1,9
40530006,1.2426307,1.2426307,.40000001,.44706744,30.165287,.69032502,.69032502,0,5
40530010,1.3726199,1.3726199,.25,.57855171,30.161201,.52907574,.52907574,0,8
40610003,3.5275631,3.5275631,0,.19656113,30.08539,2.3457401,2.3457401,1,4
40630008,1.2766386,1.2766386,.41666666,.00034150301,29.73391,.7146036,.7146036,0,12
40630010,1.1262763,1.1262906,.44444445,.080449305,29.85224,.64245093,.64243019,0,9
40630011,1.3827192,1.3827192,.5,.35826671,30.085493,.73449183,.73449183,0,10
40630013,1.7961522,1.7961522,.33333334,.058413774,29.949335,1.3100669,1.3100669,0,9
40710002,3.947026,3.947026,.33333334,.94007921,30.811918,2.7441761,2.7441761,1,3
40730003,1.8457059,1.8457059,.22222222,1.0207185,31.124216,1.0420291,1.0420291,0,9
40730005,1.2688199,1.2688199,.375,.88723594,30.693213,.53272879,.53272879,0,8
40730007,1.5342782,1.5342782,.2,1.0091022,30.557779,.86691284,.86691284,0,5
40730009,1.7066029,1.7066029,.125,.91446686,31.071218,.83511341,.83511341,0,8
